[2026-06-06 10:36:51,678: INFO: networksecurity: main_utils: YAML file loaded successfully: data_schema\schema.yaml]
[2026-06-06 10:36:51,801: INFO: networksecurity: data_validation: Schema columns count: 49]
[2026-06-06 10:36:51,803: INFO: networksecurity: data_validation: Dataframe columns count: 49]
[2026-06-06 10:36:51,805: INFO: networksecurity: data_validation: Column validation successful.]
[2026-06-06 10:36:51,809: INFO: networksecurity: data_validation: Schema columns count: 49]
[2026-06-06 10:36:51,812: INFO: networksecurity: data_validation: Dataframe columns count: 49]
[2026-06-06 10:36:51,814: INFO: networksecurity: data_validation: Column validation successful.]
[2026-06-06 10:36:52,033: INFO: networksecurity: main_utils: Successfully created YAML file at: artifacts\06_06_2026_10_33_07\data_validation\drift_report\report.yaml]
[2026-06-06 10:37:23,850: INFO: networksecurity: 3850222068: Initiating the data ingestion process]
[2026-06-06 10:37:23,853: INFO: networksecurity: data_ingestion: Initiating Data Ingestion component]
[2026-06-06 10:37:23,854: INFO: networksecurity: data_ingestion: Extracting data from SQLite database]
[2026-06-06 10:37:24,515: INFO: networksecurity: data_ingestion: Data shape from DB: (10000, 50)]
[2026-06-06 10:37:24,522: INFO: networksecurity: data_ingestion: Saving raw data to: artifacts\06_06_2026_10_37_23\data_ingestion\feature_store\Phishing_Legitimate_full.csv]
[2026-06-06 10:37:24,783: INFO: networksecurity: data_ingestion: performed train test split on dataframe]
[2026-06-06 10:37:24,788: INFO: networksecurity: data_ingestion: Exporting train and test file path]
[2026-06-06 10:37:27,507: INFO: networksecurity: main_utils: YAML file loaded successfully: data_schema\schema.yaml]
[2026-06-06 10:37:27,796: INFO: networksecurity: data_validation: Schema columns count: 49]
[2026-06-06 10:37:27,799: INFO: networksecurity: data_validation: Dataframe columns count: 49]
[2026-06-06 10:37:27,800: INFO: networksecurity: data_validation: Column validation successful.]
[2026-06-06 10:37:27,802: INFO: networksecurity: data_validation: Schema columns count: 49]
[2026-06-06 10:37:27,805: INFO: networksecurity: data_validation: Dataframe columns count: 49]
[2026-06-06 10:37:27,808: INFO: networksecurity: data_validation: Column validation successful.]
[2026-06-06 10:37:28,063: INFO: networksecurity: main_utils: Successfully created YAML file at: artifacts\06_06_2026_10_37_23\data_validation\drift_report\report.yaml]
[2026-06-06 10:37:28,065: INFO: networksecurity: data_validation: Drift report saved at: artifacts\06_06_2026_10_37_23\data_validation\drift_report\report.yaml]
[2026-06-06 10:37:28,066: WARNING: networksecurity: data_validation: Data drift detected between train and test datasets.]
[2026-06-06 10:37:28,068: INFO: networksecurity: data_validation: Data validation completed successfully.]
[2026-06-06 10:41:54,461: INFO: networksecurity: 3850222068: Initiating the data ingestion process]
[2026-06-06 10:41:54,463: INFO: networksecurity: data_ingestion: Initiating Data Ingestion component]
[2026-06-06 10:41:54,465: INFO: networksecurity: data_ingestion: Extracting data from SQLite database]
[2026-06-06 10:41:54,868: INFO: networksecurity: data_ingestion: Data shape from DB: (10000, 50)]
[2026-06-06 10:41:54,913: INFO: networksecurity: data_ingestion: Saving raw data to: artifacts\06_06_2026_10_41_54\data_ingestion\feature_store\Phishing_Legitimate_full.csv]
[2026-06-06 10:41:55,082: INFO: networksecurity: data_ingestion: performed train test split on dataframe]
[2026-06-06 10:41:55,084: INFO: networksecurity: data_ingestion: Exporting train and test file path]
[2026-06-06 10:41:59,953: INFO: networksecurity: main_utils: YAML file loaded successfully: data_schema\schema.yaml]
[2026-06-06 10:42:00,132: INFO: networksecurity: data_validation: Schema columns count: 49]
[2026-06-06 10:42:00,135: INFO: networksecurity: data_validation: Dataframe columns count: 49]
[2026-06-06 10:42:00,135: INFO: networksecurity: data_validation: Column validation successful.]
[2026-06-06 10:42:00,139: INFO: networksecurity: data_validation: Schema columns count: 49]
[2026-06-06 10:42:00,139: INFO: networksecurity: data_validation: Dataframe columns count: 49]
[2026-06-06 10:42:00,139: INFO: networksecurity: data_validation: Column validation successful.]
[2026-06-06 10:42:00,356: INFO: networksecurity: main_utils: Successfully created YAML file at: artifacts\06_06_2026_10_41_54\data_validation\drift_report\report.yaml]
[2026-06-06 10:42:00,356: INFO: networksecurity: data_validation: Drift report saved at: artifacts\06_06_2026_10_41_54\data_validation\drift_report\report.yaml]
[2026-06-06 10:42:00,356: INFO: networksecurity: data_validation: No data drift detected.]
[2026-06-06 10:42:00,363: INFO: networksecurity: data_validation: Data validation completed successfully.]
[2026-06-06 10:43:49,728: INFO: networksecurity: 3850222068: Initiating the data ingestion process]
[2026-06-06 10:43:49,734: INFO: networksecurity: data_ingestion: Initiating Data Ingestion component]
[2026-06-06 10:43:49,736: INFO: networksecurity: data_ingestion: Extracting data from SQLite database]
[2026-06-06 10:43:50,206: INFO: networksecurity: data_ingestion: Data shape from DB: (10000, 50)]
[2026-06-06 10:43:50,214: INFO: networksecurity: data_ingestion: Saving raw data to: artifacts\06_06_2026_10_43_49\data_ingestion\feature_store\Phishing_Legitimate_full.csv]
[2026-06-06 10:43:50,464: INFO: networksecurity: data_ingestion: performed train test split on dataframe]
[2026-06-06 10:43:50,466: INFO: networksecurity: data_ingestion: Exporting train and test file path]
[2026-06-06 10:43:53,728: INFO: networksecurity: main_utils: YAML file loaded successfully: data_schema\schema.yaml]
[2026-06-06 10:43:53,883: INFO: networksecurity: data_validation: Schema columns count: 49]
[2026-06-06 10:43:53,883: INFO: networksecurity: data_validation: Dataframe columns count: 49]
[2026-06-06 10:43:53,888: INFO: networksecurity: data_validation: Column validation successful.]
[2026-06-06 10:43:53,888: INFO: networksecurity: data_validation: Schema columns count: 49]
[2026-06-06 10:43:53,894: INFO: networksecurity: data_validation: Dataframe columns count: 49]
[2026-06-06 10:43:53,898: INFO: networksecurity: data_validation: Column validation successful.]
[2026-06-06 10:43:54,151: INFO: networksecurity: main_utils: Successfully created YAML file at: artifacts\06_06_2026_10_43_49\data_validation\drift_report\report.yaml]
[2026-06-06 10:43:54,153: INFO: networksecurity: data_validation: Drift report saved at: artifacts\06_06_2026_10_43_49\data_validation\drift_report\report.yaml]
[2026-06-06 10:43:54,155: WARNING: networksecurity: data_validation: Data drift detected between train and test datasets.]
[2026-06-06 10:43:54,156: INFO: networksecurity: data_validation: Data validation completed successfully.]
[2026-06-06 11:17:35,772: INFO: networksecurity: 3850222068: Initiating the data ingestion process]
[2026-06-06 11:17:35,775: INFO: networksecurity: data_ingestion: Initiating Data Ingestion component]
[2026-06-06 11:17:35,777: INFO: networksecurity: data_ingestion: Extracting data from SQLite database]
[2026-06-06 11:17:36,315: INFO: networksecurity: data_ingestion: Data shape from DB: (10000, 50)]
[2026-06-06 11:17:36,316: INFO: networksecurity: data_ingestion: Saving raw data to: artifacts\06_06_2026_11_17_35\data_ingestion\feature_store\Phishing_Legitimate_full.csv]
[2026-06-06 11:17:36,584: INFO: networksecurity: data_ingestion: performed train test split on dataframe]
[2026-06-06 11:17:36,584: INFO: networksecurity: data_ingestion: Exporting train and test file path]
[2026-06-06 11:17:42,605: INFO: networksecurity: main_utils: YAML file loaded successfully: data_schema\schema.yaml]
[2026-06-06 11:17:43,019: INFO: networksecurity: data_validation: Schema columns count: 49]
[2026-06-06 11:17:43,019: INFO: networksecurity: data_validation: Dataframe columns count: 49]
[2026-06-06 11:17:43,025: INFO: networksecurity: data_validation: Column validation successful.]
[2026-06-06 11:17:43,027: INFO: networksecurity: data_validation: Schema columns count: 49]
[2026-06-06 11:17:43,029: INFO: networksecurity: data_validation: Dataframe columns count: 49]
[2026-06-06 11:17:43,029: INFO: networksecurity: data_validation: Column validation successful.]
[2026-06-06 11:17:43,386: INFO: networksecurity: main_utils: Successfully created YAML file at: artifacts\06_06_2026_11_17_35\data_validation\drift_report\report.yaml]
[2026-06-06 11:17:43,386: INFO: networksecurity: data_validation: Drift report saved at: artifacts\06_06_2026_11_17_35\data_validation\drift_report\report.yaml]
[2026-06-06 11:17:43,386: INFO: networksecurity: data_validation: No data drift detected.]
[2026-06-06 11:17:43,386: INFO: networksecurity: data_validation: Saving validated train and test files.]
[2026-06-06 11:17:43,554: INFO: networksecurity: data_validation: Data validation completed.]
[2026-06-06 11:21:18,276: INFO: networksecurity: 3850222068: Initiating the data ingestion process]
[2026-06-06 11:21:18,279: INFO: networksecurity: data_ingestion: Initiating Data Ingestion component]
[2026-06-06 11:21:18,281: INFO: networksecurity: data_ingestion: Extracting data from SQLite database]
[2026-06-06 11:21:18,820: INFO: networksecurity: data_ingestion: Data shape from DB: (10000, 50)]
[2026-06-06 11:21:18,840: INFO: networksecurity: data_ingestion: Saving raw data to: artifacts\06_06_2026_11_21_18\data_ingestion\feature_store\Phishing_Legitimate_full.csv]
[2026-06-06 11:21:19,014: INFO: networksecurity: data_ingestion: performed train test split on dataframe]
[2026-06-06 11:21:19,014: INFO: networksecurity: data_ingestion: Exporting train and test file path]
[2026-06-06 11:21:21,528: INFO: networksecurity: main_utils: YAML file loaded successfully: data_schema\schema.yaml]
[2026-06-06 11:21:21,834: INFO: networksecurity: data_validation: Schema columns count: 49]
[2026-06-06 11:21:21,835: INFO: networksecurity: data_validation: Dataframe columns count: 49]
[2026-06-06 11:21:21,837: INFO: networksecurity: data_validation: Column validation successful.]
[2026-06-06 11:21:21,839: INFO: networksecurity: data_validation: Schema columns count: 49]
[2026-06-06 11:21:21,839: INFO: networksecurity: data_validation: Dataframe columns count: 49]
[2026-06-06 11:21:21,845: INFO: networksecurity: data_validation: Column validation successful.]
[2026-06-06 11:21:22,499: INFO: networksecurity: main_utils: Successfully created YAML file at: artifacts\06_06_2026_11_21_18\data_validation\drift_report\report.yaml]
[2026-06-06 11:21:22,499: INFO: networksecurity: data_validation: Drift report saved at: artifacts\06_06_2026_11_21_18\data_validation\drift_report\report.yaml]
[2026-06-06 11:21:22,499: INFO: networksecurity: data_validation: No data drift detected.]
[2026-06-06 11:21:22,505: INFO: networksecurity: data_validation: Saving validated train and test files.]
[2026-06-06 11:21:22,869: INFO: networksecurity: data_validation: Data validation completed.]
[2026-06-06 19:30:33,063: INFO: networksecurity: main: Initiate the data ingestion]
[2026-06-06 19:30:33,063: INFO: networksecurity: data_ingestion: Initiating Data Ingestion component]
[2026-06-06 19:30:33,063: INFO: networksecurity: data_ingestion: Extracting data from SQLite database]
[2026-06-06 19:30:33,515: INFO: networksecurity: data_ingestion: Data shape from DB: (10000, 50)]
[2026-06-06 19:30:33,560: INFO: networksecurity: data_ingestion: Saving raw data to: artifacts\06_06_2026_19_30_33\data_ingestion\feature_store\Phishing_Legitimate_full.csv]
[2026-06-06 19:30:33,769: INFO: networksecurity: data_ingestion: performed train test split on dataframe]
[2026-06-06 19:30:33,770: INFO: networksecurity: data_ingestion: Exporting train and test file path]
[2026-06-06 19:30:33,973: INFO: networksecurity: main: Data Initiation Completed]
[2026-06-06 19:30:34,025: INFO: networksecurity: main_utils: YAML file loaded successfully: data_schema\schema.yaml]
[2026-06-06 19:30:34,025: INFO: networksecurity: main: Initiate the data Validation]
[2026-06-06 19:30:34,240: INFO: networksecurity: data_validation: Schema columns count: 49]
[2026-06-06 19:30:34,265: INFO: networksecurity: data_validation: Dataframe columns count: 49]
[2026-06-06 19:30:34,284: INFO: networksecurity: data_validation: Column validation successful.]
[2026-06-06 19:30:34,295: INFO: networksecurity: data_validation: Schema columns count: 49]
[2026-06-06 19:30:34,320: INFO: networksecurity: data_validation: Dataframe columns count: 49]
[2026-06-06 19:30:34,357: INFO: networksecurity: data_validation: Column validation successful.]
[2026-06-06 19:30:34,840: INFO: networksecurity: main_utils: Successfully created YAML file at: artifacts\06_06_2026_19_30_33\data_validation\drift_report\report.yaml]
[2026-06-06 19:30:34,840: INFO: networksecurity: data_validation: Drift report saved at: artifacts\06_06_2026_19_30_33\data_validation\drift_report\report.yaml]
[2026-06-06 19:30:34,840: INFO: networksecurity: data_validation: No data drift detected.]
[2026-06-06 19:30:34,840: INFO: networksecurity: data_validation: Saving validated train and test files.]
[2026-06-06 19:30:35,140: INFO: networksecurity: data_validation: Data validation completed.]
[2026-06-06 19:30:35,146: INFO: networksecurity: main: Data Validation Completed]
[2026-06-06 19:34:04,210: INFO: networksecurity: main: Initiate the data ingestion]
[2026-06-06 19:34:04,210: INFO: networksecurity: data_ingestion: Initiating Data Ingestion component]
[2026-06-06 19:34:04,210: INFO: networksecurity: data_ingestion: Extracting data from SQLite database]
[2026-06-06 19:34:04,710: INFO: networksecurity: data_ingestion: Data shape from DB: (10000, 50)]
[2026-06-06 19:34:04,760: INFO: networksecurity: data_ingestion: Saving raw data to: artifacts\06_06_2026_19_34_04\data_ingestion\feature_store\Phishing_Legitimate_full.csv]
[2026-06-06 19:34:04,984: INFO: networksecurity: data_ingestion: performed train test split on dataframe]
[2026-06-06 19:34:04,984: INFO: networksecurity: data_ingestion: Exporting train and test file path]
[2026-06-06 19:34:05,272: INFO: networksecurity: main: Data Initiation Completed]
[2026-06-06 19:34:05,296: INFO: networksecurity: main_utils: YAML file loaded successfully: data_schema\schema.yaml]
[2026-06-06 19:34:05,301: INFO: networksecurity: main: Initiate the data Validation]
[2026-06-06 19:34:05,525: INFO: networksecurity: data_validation: Schema columns count: 49]
[2026-06-06 19:34:05,525: INFO: networksecurity: data_validation: Dataframe columns count: 49]
[2026-06-06 19:34:05,525: INFO: networksecurity: data_validation: Column validation successful.]
